File: hgssover.narc
Size: 4637368 bytes
hgssover._0,1b40
hgssover._1,35a8
hgssover._2,5010
hgssover._3,6a78
hgssover._4,84e0
hgssover._5,9f48
hgssover._6,b9b0
hgssover._7,d418
hgssover._8,ee80
hgssover._9,108e8
hgssover._10,12350
hgssover._11,13db8
hgssover._12,15820
hgssover._13,17288
hgssover._14,18cf0
hgssover._15,1a758
hgssover._16,1c1c0
hgssover._17,1dc28
hgssover._18,1f690
hgssover._19,210f8
hgssover._20,22b60
hgssover._21,245c8
hgssover._22,26030
hgssover._23,27a98
hgssover._24,29500
hgssover._25,2af68
hgssover._26,2c9d0
hgssover._27,2e438
hgssover._28,2fea0
hgssover._29,31908
hgssover._30,33370
hgssover._31,34dd8
hgssover._32,36840
hgssover._33,382a8
hgssover._34,39d10
hgssover._35,3b778
hgssover._36,3d1e0
hgssover._37,3ec48
hgssover._38,406b0
hgssover._39,42118
hgssover._40,43b80
hgssover._41,455e8
hgssover._42,47050
hgssover._43,48ab8
hgssover._44,4a520
hgssover._45,4bf88
hgssover._46,4d9f0
hgssover._47,4f458
hgssover._48,50ec0
hgssover._49,52928
hgssover._50,54390
hgssover._51,55df8
hgssover._52,57860
hgssover._53,592c8
hgssover._54,5ad30
hgssover._55,5c798
hgssover._56,5e200
hgssover._57,5fc68
hgssover._58,616d0
hgssover._59,63138
hgssover._60,64ba0
hgssover._61,66608
hgssover._62,68070
hgssover._63,69ad8
hgssover._64,6b540
hgssover._65,6cfa8
hgssover._66,6ea10
hgssover._67,70a78
hgssover._68,724e0
hgssover._69,73f48
hgssover._70,77370
hgssover._71,7a798
hgssover._72,7d6e0
hgssover._73,80228
hgssover._74,80b40
hgssover._75,81458
hgssover._76,81d70
hgssover._77,82688
hgssover._78,831f4
hgssover._79,83d60
hgssover._80,85fc8
hgssover._81,88230
hgssover._82,88f80
hgssover._83,89cd0
hgssover._84,8b738
hgssover._85,8d1a0
hgssover._86,8eb98
hgssover._87,90590
hgssover._88,90a70
hgssover._89,90f50
hgssover._90,91d48
hgssover._91,92b40
hgssover._92,92c74
hgssover._93,92da8
hgssover._94,9305c
hgssover._95,93190
hgssover._96,969b8
hgssover._97,99fe0
hgssover._98,9add8
hgssover._99,9bbd0
hgssover._100,9f1f8
hgssover._101,a1220
