babyboy1,211A938
babygirl1,211C3A0
boy1,211DE08
boy2,211F870
boy3,21212D8
girl1,2122D40
girl2,21247A8
girl3,2126210
man1,2127C78
man2,21296E0
man3,212B148
woman1,212CBB0
woman2,212E618
woman3,2130080
middleman1,2131AE8
middlewoman1,2133550
oldman1,2134FB8
oldwoman1,2136A20
bigman,2138488
mount,2139EF0
reporter,213B958
cameraman,213D3C0
shopm1,213EE28
shopw1,2140890
pcwoman1,21422F8
pcwoman2,2143F7C
pcwoman3,21459E4
assistantm,214744C
assistantw,2148EB4
badman,214A91C
skierm,214C384
skierw,214DDEC
policeman,214F854
idol,21512BC
gentleman,2152D24
lady,215478C
cyclem,21561F4
cyclew,2157C5C
workman,21596C4
farmer,215B12C
cowgirl,215CB94
clown,215E5FC
artist,2160064
sportsman,2161ACC
swimmerm,2163534
swimmerw,2164F9C
beachgirl,2166A04
beachboy,216846C
explore,2169ED4
fighter,216B93C
campboy,216D3A4
picnicgirl,216EE0C
fishing,2170874
ambrella,21722DC
seaman,2173D44
ketsuban,21757AC
ketsuban,2175E14
waiter,217647C
waitress,2177EE4
ketsuban,217994C
gorggeousm,2179FB4
gorggeousw,217BA1C
boy4,217D484
girl4,217EEEC
ketsuban,2180954
ketsuban,2180FBC
man5,2181624
woman5,218308C
mystery,2184AF4
pikachu,218655C
pippi,2187FC4
purin,2189A2C
koduck,218B494
ketsuban,218CEFC
ketsuban,218D564
ketsuban,218DBCC
achamo,218E234
eneco,218FC9C
ketsuban,2191704
baby,2191D6C
middleman2,2192FD4
middlewoman2,2194A3C
rock,21964A4
breakrock,21965D8
tree,219670C
monstarball,21969C0
girl1,2196AF4
girl1,219855C
girl1,2199FC4
shibuki.3_pl,219BA2C
hero,219BE48
heroine,219F270
cyclehero,21A2698
cycleheroine,21A51E0
doctor,21A7D28
seed00_a.2_pl,21A9790
seed01_a.2_pl,21A9978
seed01_b.2_pl,21A9C60
seed01_c.2_pl,21A9F58
gingaboss,21AA250
gkanbu1,21ABCB8
gkanbu2,21AD720
gkanbu3,21AF188
gingam,21B0BF0
gingaw,21B2658
leader1,21B40C0
leader2,21B5B28
leader3,21B7590
leader4,21B8FF8
leader5,21BAA60
leader6,21BC4C8
leader7,21BDF30
leader8,21BF998
bigfour1,21C1400
bigfour2,21C2E68
bigfour3,21C48D0
bigfour4,21C6338
champion,21C7DA0
man1,21C9808
mama,21CB270
seven1,21CCCD8
seven2,21CE740
seven3,21D01A8
seven4,21D1C10
seven5,21D3678
ketsuban,21D56E0
ketsuban,21D5D48
rivel,21D63B0
bigman,21D7E18
bigman,21D9880
sppoke1,21DB2E8
sppoke2,21DB7C8
sppoke3,21DBCA8
sppoke4,21DC188
sppoke5,21DD268
sppoke6,21DE348
sppoke7,21DF428
sppoke8,21DF908
sppoke9,21E0B70
sppoke10,21E1050
sppoke11,21E2130
ketsuban,21E2610
woman6,21E2C78
oldman2,21E46E0
oldwoman2,21E6148
ookido,21E7BB0
mikan,21E9618
sunglasses,21EB080
towerboss,21ECAE8
bigman,21EE550
bigman,21EFFB8
bigman,21F1A20
bird,21F3488
bag,21F3DA0
maid,21F4064
sphero,21F5ACC
spheroine,21F63E4
waterhero,21F6CFC
waterheroine,21F7868
swimhero,21F83D4
swimheroine,21F8CEC
venthole,21F9604
sppoke12,21F98C8
balloon,21FA18C
contesthero,21FBBF4
cont_heroine,21FD65C
fishinghero,21FF0C4
fish_heroine,220132C
moss,2203594
freezes,22036D8
pole,220380C
seed02_a.2_pl,2203AC0
seed02_b.2_pl,2203DB8
seed02_c.2_pl,22040B0
seed03_a.2_pl,22043A8
seed03_b.2_pl,2204690
seed03_c.2_pl,2204988
seed04_a.2_pl,2204C80
seed04_b.2_pl,2204F68
